customer_id,total_orders,lifetime_revenue,lifetime_profit,avg_order_value,first_order,last_order
CUST-1119,15,2957.67,962.95,197.18,2025-01-12,2025-12-13
CUST-1056,15,2934.42,988.97,195.63,2025-01-24,2025-12-27
CUST-1011,13,2919.95,940.47,224.61,2025-01-01,2025-12-05
CUST-1078,11,2896.9500000000003,1029.92,263.36,2025-01-07,2025-12-24
CUST-1062,19,2847.02,1026.86,149.84,2025-01-28,2025-12-27
CUST-1030,23,2819.36,989.2600000000001,122.58,2025-01-15,2025-12-11
CUST-1053,15,2686.54,1022.0199999999999,179.1,2025-01-04,2025-11-15
CUST-1037,10,2681.66,935.72,268.17,2025-03-28,2025-09-25
CUST-1054,15,2674.76,910.3000000000001,178.32,2025-01-21,2025-12-14
CUST-1045,13,2656.2400000000002,950.2900000000001,204.33,2025-01-02,2025-12-30
CUST-1029,12,2623.51,894.6,218.63,2025-04-24,2025-12-28
CUST-1067,14,2616.42,905.06,186.89,2025-01-09,2025-11-09
CUST-1059,14,2604.86,846.66,186.06,2025-01-05,2025-12-10
CUST-1114,14,2542.76,837.28,181.63,2025-01-23,2025-11-13
CUST-1028,12,2479.94,888.2499999999999,206.66,2025-05-10,2025-12-12
CUST-1069,13,2453.38,881.9000000000001,188.72,2025-01-31,2025-12-10
CUST-1098,16,2437.09,826.6999999999999,152.32,2025-01-27,2025-10-25
CUST-1020,12,2413.71,734.78,201.14,2025-01-28,2025-12-18
CUST-1111,12,2413.0299999999997,728.32,201.09,2025-02-04,2025-12-24
CUST-1077,16,2372.2,779.6400000000001,148.26,2025-01-02,2025-12-22
CUST-1092,14,2285.39,774.99,163.24,2025-01-18,2025-11-03
CUST-1105,13,2281.73,777.1899999999999,175.52,2025-01-06,2025-12-15
CUST-1000,12,2274.9100000000003,749.8100000000002,189.58,2025-01-23,2025-12-05
CUST-1109,13,2260.42,827.6899999999999,173.88,2025-01-01,2025-09-29
CUST-1035,13,2167.59,779.37,166.74,2025-01-03,2025-12-30
CUST-1012,14,2158.36,782.07,154.17,2025-01-04,2025-11-24
CUST-1002,11,2135.06,787.22,194.1,2025-01-04,2025-12-24
CUST-1088,14,2135.02,698.88,152.5,2025-01-22,2025-12-31
CUST-1112,11,2063.34,637.17,187.58,2025-01-07,2025-12-29
CUST-1001,12,1969.56,682.36,164.13,2025-02-05,2025-11-27
CUST-1101,9,1833.61,595.35,203.73,2025-01-21,2025-11-19
CUST-1084,15,1832.23,564.5799999999999,122.15,2025-01-30,2025-12-19
CUST-1108,11,1830.04,618.18,166.37,2025-01-15,2025-12-17
CUST-1024,12,1816.9099999999999,603.17,151.41,2025-01-16,2025-11-04
CUST-1099,14,1806.44,650.18,129.03,2025-02-27,2025-12-22
CUST-1016,15,1670.92,507.21000000000004,111.39,2025-01-22,2025-11-16
CUST-1117,7,1620.69,528.58,231.53,2025-01-15,2025-09-05
CUST-1055,13,1598.73,573.57,122.98,2025-02-11,2025-12-29
CUST-1107,11,1543.8400000000001,509.04,140.35,2025-01-23,2025-12-27
CUST-1110,9,1473.51,501.01000000000005,163.72,2025-01-09,2025-07-05
